_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,browser,controversial,openness,persistence,polarity,popularity,sentiment,browser_gold,commentcount,comments,controversial_gold,id,openness_gold,paragraphcount,persistence_gold,polarity_gold,popularity_gold,published,section,sentiment_gold,text,title,type,url
1132303217,1/10/2017 15:16:56,2338172846,1/10/2017 15:16:16,false,neodev,0.9922,18881135,CAN,NB,Saint George,174.119.194.25,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,no,yes,no,no,no,no,,208,"Pretty disgraceful, and arguably these people are the lucky ones as they weren't crushed in a crowd surge. Still, it's not like the Saudis can afford to do anything about it, they need their money for buying our weaponry.||That people expect anything different from a society and tradition that for 14 centuries has had a history of sanctioned violence, violations of promises and contracts is the strange point here not that Thai happens||I know, what a rip off paying to go to a festival where the main act is fictitious and doesn't turn up.||We should cut the Saudi's some slack. Carpet bombing a neighbouring country is occupying their primary focus.||Who are the 'devious your operators'?",,f8b2ecef-e2ec-4b2e-83ff-e12feb4cd88f,,26,,,,2016-10-08T06:00:35Z,money,,"<p>For Tariq Khan* and his family, the pilgrimage to Mecca should have been the trip of a lifetime. But after paying more than £16,000 to make the hajj they found themselves sharing a hotel bedroom with strangers and having to use squalid toilets and kitchens .</p> <p>The family, from Rochdale in Greater Manchester, are among the latest group of people to return from the hajj complaining that they have been ripped-off by one of the many unscrupulous travel agents that appear to prey on the UK’s Muslim community.</p>",Scandal of the hajj pilgrims who are cheated by devious tour operators,article,https://www.theguardian.com/money/2016/oct/08/scandal-hajj-pilgrims-cheated-devious-tour-operators
1132303217,1/10/2017 17:30:52,2338281290,1/10/2017 17:30:17,false,neodev,0.6021,12686314,USA,IN,Mishawaka,98.222.84.85,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,yes,yes,yes,yes,yes,yes,,208,"Pretty disgraceful, and arguably these people are the lucky ones as they weren't crushed in a crowd surge. Still, it's not like the Saudis can afford to do anything about it, they need their money for buying our weaponry.||That people expect anything different from a society and tradition that for 14 centuries has had a history of sanctioned violence, violations of promises and contracts is the strange point here not that Thai happens||I know, what a rip off paying to go to a festival where the main act is fictitious and doesn't turn up.||We should cut the Saudi's some slack. Carpet bombing a neighbouring country is occupying their primary focus.||Who are the 'devious your operators'?",,f8b2ecef-e2ec-4b2e-83ff-e12feb4cd88f,,26,,,,2016-10-08T06:00:35Z,money,,"<p>For Tariq Khan* and his family, the pilgrimage to Mecca should have been the trip of a lifetime. But after paying more than £16,000 to make the hajj they found themselves sharing a hotel bedroom with strangers and having to use squalid toilets and kitchens .</p> <p>The family, from Rochdale in Greater Manchester, are among the latest group of people to return from the hajj complaining that they have been ripped-off by one of the many unscrupulous travel agents that appear to prey on the UK’s Muslim community.</p>",Scandal of the hajj pilgrims who are cheated by devious tour operators,article,https://www.theguardian.com/money/2016/oct/08/scandal-hajj-pilgrims-cheated-devious-tour-operators
1132303217,1/10/2017 17:35:52,2338286399,1/10/2017 17:34:49,false,prizerebel,0.6382,35607359,USA,MI,Ferndale,67.149.165.68,"Mozilla/5.0 (Linux; Android 5.0.1; SCH-I545 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",no,no,no,yes,no,no,,208,"Pretty disgraceful, and arguably these people are the lucky ones as they weren't crushed in a crowd surge. Still, it's not like the Saudis can afford to do anything about it, they need their money for buying our weaponry.||That people expect anything different from a society and tradition that for 14 centuries has had a history of sanctioned violence, violations of promises and contracts is the strange point here not that Thai happens||I know, what a rip off paying to go to a festival where the main act is fictitious and doesn't turn up.||We should cut the Saudi's some slack. Carpet bombing a neighbouring country is occupying their primary focus.||Who are the 'devious your operators'?",,f8b2ecef-e2ec-4b2e-83ff-e12feb4cd88f,,26,,,,2016-10-08T06:00:35Z,money,,"<p>For Tariq Khan* and his family, the pilgrimage to Mecca should have been the trip of a lifetime. But after paying more than £16,000 to make the hajj they found themselves sharing a hotel bedroom with strangers and having to use squalid toilets and kitchens .</p> <p>The family, from Rochdale in Greater Manchester, are among the latest group of people to return from the hajj complaining that they have been ripped-off by one of the many unscrupulous travel agents that appear to prey on the UK’s Muslim community.</p>",Scandal of the hajj pilgrims who are cheated by devious tour operators,article,https://www.theguardian.com/money/2016/oct/08/scandal-hajj-pilgrims-cheated-devious-tour-operators
1132303217,1/10/2017 18:30:31,2338346519,1/10/2017 18:29:27,false,instagc,0.5781,22298499,USA,DE,Wilmington,68.82.138.233,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",yes,yes,yes,yes,no,yes,,208,"Pretty disgraceful, and arguably these people are the lucky ones as they weren't crushed in a crowd surge. Still, it's not like the Saudis can afford to do anything about it, they need their money for buying our weaponry.||That people expect anything different from a society and tradition that for 14 centuries has had a history of sanctioned violence, violations of promises and contracts is the strange point here not that Thai happens||I know, what a rip off paying to go to a festival where the main act is fictitious and doesn't turn up.||We should cut the Saudi's some slack. Carpet bombing a neighbouring country is occupying their primary focus.||Who are the 'devious your operators'?",,f8b2ecef-e2ec-4b2e-83ff-e12feb4cd88f,,26,,,,2016-10-08T06:00:35Z,money,,"<p>For Tariq Khan* and his family, the pilgrimage to Mecca should have been the trip of a lifetime. But after paying more than £16,000 to make the hajj they found themselves sharing a hotel bedroom with strangers and having to use squalid toilets and kitchens .</p> <p>The family, from Rochdale in Greater Manchester, are among the latest group of people to return from the hajj complaining that they have been ripped-off by one of the many unscrupulous travel agents that appear to prey on the UK’s Muslim community.</p>",Scandal of the hajj pilgrims who are cheated by devious tour operators,article,https://www.theguardian.com/money/2016/oct/08/scandal-hajj-pilgrims-cheated-devious-tour-operators
1132303217,1/10/2017 19:23:56,2338415947,1/10/2017 19:23:27,false,content_runner,0.5812,41449612,GBR,"","",77.92.72.92,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",yes,no,no,yes,no,yes,,208,"Pretty disgraceful, and arguably these people are the lucky ones as they weren't crushed in a crowd surge. Still, it's not like the Saudis can afford to do anything about it, they need their money for buying our weaponry.||That people expect anything different from a society and tradition that for 14 centuries has had a history of sanctioned violence, violations of promises and contracts is the strange point here not that Thai happens||I know, what a rip off paying to go to a festival where the main act is fictitious and doesn't turn up.||We should cut the Saudi's some slack. Carpet bombing a neighbouring country is occupying their primary focus.||Who are the 'devious your operators'?",,f8b2ecef-e2ec-4b2e-83ff-e12feb4cd88f,,26,,,,2016-10-08T06:00:35Z,money,,"<p>For Tariq Khan* and his family, the pilgrimage to Mecca should have been the trip of a lifetime. But after paying more than £16,000 to make the hajj they found themselves sharing a hotel bedroom with strangers and having to use squalid toilets and kitchens .</p> <p>The family, from Rochdale in Greater Manchester, are among the latest group of people to return from the hajj complaining that they have been ripped-off by one of the many unscrupulous travel agents that appear to prey on the UK’s Muslim community.</p>",Scandal of the hajj pilgrims who are cheated by devious tour operators,article,https://www.theguardian.com/money/2016/oct/08/scandal-hajj-pilgrims-cheated-devious-tour-operators
1132303217,1/10/2017 19:26:26,2338418896,1/10/2017 19:24:48,false,neodev,0.4957,31613324,USA,IL,Carol Stream,50.158.27.89,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",yes,yes,yes,yes,yes,yes,,208,"Pretty disgraceful, and arguably these people are the lucky ones as they weren't crushed in a crowd surge. Still, it's not like the Saudis can afford to do anything about it, they need their money for buying our weaponry.||That people expect anything different from a society and tradition that for 14 centuries has had a history of sanctioned violence, violations of promises and contracts is the strange point here not that Thai happens||I know, what a rip off paying to go to a festival where the main act is fictitious and doesn't turn up.||We should cut the Saudi's some slack. Carpet bombing a neighbouring country is occupying their primary focus.||Who are the 'devious your operators'?",,f8b2ecef-e2ec-4b2e-83ff-e12feb4cd88f,,26,,,,2016-10-08T06:00:35Z,money,,"<p>For Tariq Khan* and his family, the pilgrimage to Mecca should have been the trip of a lifetime. But after paying more than £16,000 to make the hajj they found themselves sharing a hotel bedroom with strangers and having to use squalid toilets and kitchens .</p> <p>The family, from Rochdale in Greater Manchester, are among the latest group of people to return from the hajj complaining that they have been ripped-off by one of the many unscrupulous travel agents that appear to prey on the UK’s Muslim community.</p>",Scandal of the hajj pilgrims who are cheated by devious tour operators,article,https://www.theguardian.com/money/2016/oct/08/scandal-hajj-pilgrims-cheated-devious-tour-operators
1132303218,1/10/2017 15:29:29,2338182596,1/10/2017 15:28:53,false,neodev,0.9922,18881135,CAN,NB,Saint George,174.119.194.25,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,no,no,no,no,no,no,,245,"What an odd article. I thought there had to be a lot more to Polish food than that, and there is: http://www.tastingpoland.com/food/list_of_polish_food.html||Why don't we have the kopytka recipe? I'd like to have that one...||My dad was disgusted that they recently had a Polish week in our local LidlWhy ? I asked Because your a xenophobic old git , who's stuck in his xenophobic old ways Scared of sharing your local supermarket with another cultureNo, he said ,they never had any Cherry Blossom ..||The soup served in an oversized Yorkshire pudding dish is lovely too. With a massive doughnut for pudding and a mug of tea. All for £2 if you travel away from the major cities||Zurek is my go-to dish over there. Served as a starter but if you eat the bowl it's a full meal.",,f92087b0-2691-432d-9b4d-ad023fb2ff87,,13,,,,2016-10-26T06:00:04Z,society,,"Pierogi and kopytka (dumplings)     Pierogi are a staple of Polish cuisine. Photograph: Alamy    <p>Seek out domowe (homemade) behind the deli counter or robione ręcznie (made by hand) in the refrigerators. If you can’t find any, go for frozen ones over machine-made, chilled offerings.</p> <p>Although commonly served boiled, pierogi can also be baked or fried (ideally in rapeseed oil) after parboiling. Serve them drizzled with fried onions, smalec (pork fat with pork pieces) or both, and accompany with your choice of surówki (salads of raw or pickled vegetables) – such as sauerkraut, cucumber or yoghurt and dill – and pickles, for balance.</p>",Polish food in Britain: a guide to the classic dishes,article,https://www.theguardian.com/society/2016/oct/26/polish-food-britain-guide-classic-dishes
1132303218,1/10/2017 18:57:16,2338382687,1/10/2017 18:55:51,false,instagc,0.5781,22298499,USA,DE,Wilmington,68.82.138.233,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",yes,yes,yes,yes,no,yes,,245,"What an odd article. I thought there had to be a lot more to Polish food than that, and there is: http://www.tastingpoland.com/food/list_of_polish_food.html||Why don't we have the kopytka recipe? I'd like to have that one...||My dad was disgusted that they recently had a Polish week in our local LidlWhy ? I asked Because your a xenophobic old git , who's stuck in his xenophobic old ways Scared of sharing your local supermarket with another cultureNo, he said ,they never had any Cherry Blossom ..||The soup served in an oversized Yorkshire pudding dish is lovely too. With a massive doughnut for pudding and a mug of tea. All for £2 if you travel away from the major cities||Zurek is my go-to dish over there. Served as a starter but if you eat the bowl it's a full meal.",,f92087b0-2691-432d-9b4d-ad023fb2ff87,,13,,,,2016-10-26T06:00:04Z,society,,"Pierogi and kopytka (dumplings)     Pierogi are a staple of Polish cuisine. Photograph: Alamy    <p>Seek out domowe (homemade) behind the deli counter or robione ręcznie (made by hand) in the refrigerators. If you can’t find any, go for frozen ones over machine-made, chilled offerings.</p> <p>Although commonly served boiled, pierogi can also be baked or fried (ideally in rapeseed oil) after parboiling. Serve them drizzled with fried onions, smalec (pork fat with pork pieces) or both, and accompany with your choice of surówki (salads of raw or pickled vegetables) – such as sauerkraut, cucumber or yoghurt and dill – and pickles, for balance.</p>",Polish food in Britain: a guide to the classic dishes,article,https://www.theguardian.com/society/2016/oct/26/polish-food-britain-guide-classic-dishes
1132303218,1/10/2017 19:32:31,2338427225,1/10/2017 19:32:03,false,content_runner,0.5812,41449612,GBR,"","",77.92.72.92,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",no,yes,no,yes,no,yes,,245,"What an odd article. I thought there had to be a lot more to Polish food than that, and there is: http://www.tastingpoland.com/food/list_of_polish_food.html||Why don't we have the kopytka recipe? I'd like to have that one...||My dad was disgusted that they recently had a Polish week in our local LidlWhy ? I asked Because your a xenophobic old git , who's stuck in his xenophobic old ways Scared of sharing your local supermarket with another cultureNo, he said ,they never had any Cherry Blossom ..||The soup served in an oversized Yorkshire pudding dish is lovely too. With a massive doughnut for pudding and a mug of tea. All for £2 if you travel away from the major cities||Zurek is my go-to dish over there. Served as a starter but if you eat the bowl it's a full meal.",,f92087b0-2691-432d-9b4d-ad023fb2ff87,,13,,,,2016-10-26T06:00:04Z,society,,"Pierogi and kopytka (dumplings)     Pierogi are a staple of Polish cuisine. Photograph: Alamy    <p>Seek out domowe (homemade) behind the deli counter or robione ręcznie (made by hand) in the refrigerators. If you can’t find any, go for frozen ones over machine-made, chilled offerings.</p> <p>Although commonly served boiled, pierogi can also be baked or fried (ideally in rapeseed oil) after parboiling. Serve them drizzled with fried onions, smalec (pork fat with pork pieces) or both, and accompany with your choice of surówki (salads of raw or pickled vegetables) – such as sauerkraut, cucumber or yoghurt and dill – and pickles, for balance.</p>",Polish food in Britain: a guide to the classic dishes,article,https://www.theguardian.com/society/2016/oct/26/polish-food-britain-guide-classic-dishes
1132303218,1/10/2017 20:13:36,2338493537,1/10/2017 20:12:53,false,clixsense,0.5326,35394287,CAN,NL,Stephenville,71.7.213.107,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",no,no,yes,yes,no,no,,245,"What an odd article. I thought there had to be a lot more to Polish food than that, and there is: http://www.tastingpoland.com/food/list_of_polish_food.html||Why don't we have the kopytka recipe? I'd like to have that one...||My dad was disgusted that they recently had a Polish week in our local LidlWhy ? I asked Because your a xenophobic old git , who's stuck in his xenophobic old ways Scared of sharing your local supermarket with another cultureNo, he said ,they never had any Cherry Blossom ..||The soup served in an oversized Yorkshire pudding dish is lovely too. With a massive doughnut for pudding and a mug of tea. All for £2 if you travel away from the major cities||Zurek is my go-to dish over there. Served as a starter but if you eat the bowl it's a full meal.",,f92087b0-2691-432d-9b4d-ad023fb2ff87,,13,,,,2016-10-26T06:00:04Z,society,,"Pierogi and kopytka (dumplings)     Pierogi are a staple of Polish cuisine. Photograph: Alamy    <p>Seek out domowe (homemade) behind the deli counter or robione ręcznie (made by hand) in the refrigerators. If you can’t find any, go for frozen ones over machine-made, chilled offerings.</p> <p>Although commonly served boiled, pierogi can also be baked or fried (ideally in rapeseed oil) after parboiling. Serve them drizzled with fried onions, smalec (pork fat with pork pieces) or both, and accompany with your choice of surówki (salads of raw or pickled vegetables) – such as sauerkraut, cucumber or yoghurt and dill – and pickles, for balance.</p>",Polish food in Britain: a guide to the classic dishes,article,https://www.theguardian.com/society/2016/oct/26/polish-food-britain-guide-classic-dishes
